Value,Cell
10,A1
20,C1
20,J1
22,B2
19,J3
9,K3
18,G4
21,I4
61,J4
63,K4
19,I5
70,J5
44,K5
13,I6
85,J6
29,K6
26,L6
31,B7
35,C7
32,D7
18,F7
62,J7
30,B8
36,C8
36,D8
60,J8
